DI_Code	DI_Term	SCT_ID	SCT_Description	Primary_Code1	Primary_Term1	Primary_Code2	Primary_Term2	Primary_Code3	Primary_Term3	Primary_Code4	Primary_Term4	Y_Code1	Y_Term1	Y_Code2	Y_Term2	Y_Code3	Y_Term3	Z_code1	Z_Term1	Z_code2	Z_Term2	Z_code3	Z_Term3	Z_code4	Z_Term4	Z_code5	Z_Term5	O_Code	O_Term	Annotation
CCRLRA	CT Pc cryotherapy tumour Abl lung Right	609171001	Percutaneous cryoablation of neoplasm of lung using computed tomography guidance (procedure)	E59.8	Other specified other operations on lung							Y13.2	Cryotherapy to lesion of organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CCSFJJ	CT Facet joint injection cervical	432901008	Injection of cervical zygapophyseal joint using computed tomography guidance (procedure)	V54.4	Injection around spinal facet of spine	V55.9	Unspecified levels of spine					Y53.3	Approach to organ under computed tomography scan control					Z66.3	Cervical vertebra											
CCSPDC	CT Spine cervical discogram	241594001	Computed tomography discogram of cervical region (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z99.1	Intervertebral disc of cervical spine											
CCSPN	CT Spine cervical	241578008	Computed tomography of cervical spine (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)					Z66.3	Cervical vertebra											
CCSPNC	CT Spine cervical with contrast	762008	Computerized axial tomography of cervical spine with contrast (procedure)	U05.4	Computed tomography of spine							Y97.3	Radiology with post contrast					Z66.3	Cervical vertebra											
CCSPNM	CT 3D mobile Intra-op cervical spine	1087111000000103	Mobile intraoperative three-dimensional computed tomography of cervical spine (procedure)	U05.4	Computed tomography of spine							Y98.1	Radiology of one body area (or < 20 minutes)	Y98.6	Mobile and or intraoperative procedures of any/all body areas			Z66.3	Cervical vertebra											
CCSPNT	CT Spine cervical myelogram	241590005	Computed tomography myelogram of cervical region (procedure)	A55.2	Spinal myelography NEC	U05.4	Computed tomography of spine					Y98.1	Radiology of one body area (or < 20 minutes)					Z06.1	Cervical spinal cord											
CCYSTY	CT Cystogram	711227002	Computed tomography cystography (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z42.1	Bladder NEC											
CDCGB	CT Dacrocystogram Both	432779000	Computed tomography dacryocystography of lacrimal canaliculus (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z16.7	Lacrimal apparatus											
CDCGL	CT Dacrocystogram Lt	432779000	Computed tomography dacryocystography of lacrimal canaliculus (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z16.7	Lacrimal apparatus											
CDCGR	CT Dacrocystogram Rt	432779000	Computed tomography dacryocystography of lacrimal canaliculus (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z16.7	Lacrimal apparatus											
CDEXA	CT Bone densitometry	22059005	Computerized tomography, bone density study (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)																	
CDPKBC	CT Dual phase kidney with contrast Both	1111001000000103	Computed tomography dual phase of bilateral kidneys with contrast (procedure)	U37.2	Computed tomography of kidneys							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															N
CDRAID	CT Guided drainage	431842009	Insertion of drain using computed tomography guidance (procedure)	#HLT																										
CDYNA	CT Dynamic arthrogram	1111021000000107	Dynamic computed tomography arthrography (procedure)	W90.2	Arthrography	Y53.9	Unspecified approach to organ under image control	U13.6	Computed tomography of bone			Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															N
CDYNT	CT Dynamic trachea	1111011000000101	Dynamic computed tomography of trachea (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z24.3	Trachea											N
CEABLA	CT Guided ablation ethanol	433918001	Ethanol ablation using computed tomography guidance (procedure)	#HLT																										
CEARP	CT Planning endovascular aneurysm repair	431826002	Computed tomography for endovascular aneurysm repair planning (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)																	
CECAUJ	CT Guided epidural injection caudal	430443003	Sacral epidural injection using computed tomography guidance (procedure)	A52.2	Therapeutic sacral epidural injection							Y53.3	Approach to organ under computed tomography scan control																	
CECERJ	CT Guided epidural injection cervical	430444009	Cervical epidural injection using computed tomography guidance (procedure)	A52.8	Other specified therapeutic epidural injection							Y53.3	Approach to organ under computed tomography scan control					Z06.1	Cervical spinal cord											
CELBB	CT Elbow Both	241566009	Computed tomography of elbow (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z81.5	Elbow joint											
CELBBJ	CT Guided injection elbow Both	429922008	Injection of elbow joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z81.5	Elbow joint											
CELBL	CT Elbow Lt	413901008	Computerized axial tomography of elbow, left (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.5	Elbow joint	Z94.3	Left sided operation									
CELBLJ	CT Guided injection elbow Left	429922008	Injection of elbow joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z81.5	Elbow joint											
CELBR	CT Elbow Rt	413902001	Computerized axial tomography of elbow, right (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z81.5	Elbow joint	Z94.2	Right sided operation									
CELBRJ	CT Guided injection elbow Right	429922008	Injection of elbow joint using computed tomography guidance (procedure)	W90.4	Injection into joint NEC							Y53.3	Approach to organ under computed tomography scan control					Z81.5	Elbow joint											
CELUMJ	CT Guided epidural injection lumbar	429871002	Lumbar epidural injection using computed tomography guidance (procedure)	A52.1	Therapeutic lumbar epidural injection							Y53.3	Approach to organ under computed tomography scan control																	
CELYS	CT Enteroclysis	431214001	Computed tomography enteroclysis (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z27.7	Small intestine											
CEMBOE	CT Guided embolisation	431611001	Embolization using computed tomography guidance (procedure)	#HLT																										
CENEM	CT Contrast enema	431944009	Computed tomography with contrast enema (procedure)	U17.5	Computed tomography of colon							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)															
CENTE	CT Enterography	441538004	Computed tomography of small intestine (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z27.7	Small intestine											
CEPIDJ	CT Guided epidural injection	432406007	Epidural injection using computed tomography guidance (procedure)	A52.9	Unspecified therapeutic epidural injection							Y53.3	Approach to organ under computed tomography scan control																	
CESACJ	CT Guided epidural injection sacral	430443003	Sacral epidural injection using computed tomography guidance (procedure)	A52.2	Therapeutic sacral epidural injection							Y53.3	Approach to organ under computed tomography scan control																	
CETHOJ	CT Guided epidural injection thoracic	432731007	Thoracic epidural injection using computed tomography guidance (procedure)	A52.8	Other specified therapeutic epidural injection							Y53.3	Approach to organ under computed tomography scan control					Z06.2	Thoracic spinal cord											
CEVAC	CT Post endovascular Aneur repair check	843071000000105	Computed tomography checking of post-endovascular aneurysm repair (procedure)	U35.5	Computed tomography angiography							Y98.1	Radiology of one body area (or < 20 minutes)																	
CFABOC	CT Facial bones with contrast	702420007	Computed tomography of facial bones with contrast (procedure)	U13.6	Computed tomography of bone							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z64.9	Bone of face NEC											
CFACE	CT Facial bones	419673001	Computed tomography of facial bones (procedure)	U13.6	Computed tomography of bone							Y98.1	Radiology of one body area (or < 20 minutes)					Z64.9	Bone of face NEC											
CFACI	CT Face	169067003	Computed tomography of face (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z92.2	Face NEC											
CFACIC	CT Face with contrast	431714002	Computed tomography of face with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z92.2	Face NEC											
CFARB	CT Forearm Both	241567000	Computed tomography of forearm (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z89.3	Forearm NEC											
CFARBC	CT Forearm with contrast Both	431621009	Computed tomography of forearm with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.2	Radiology of two body areas			Z89.3	Forearm NEC											
CFARL	CT Forearm Lt	4291000087109	Computed tomography of left forearm (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.3	Forearm NEC	Z94.3	Left sided operation									
CFARLC	CT Forearm with contrast Lt	4301000087108	Computed tomography of left forearm with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z89.3	Forearm NEC	Z94.3	Left sided operation									
CFARR	CT Forearm Rt	4311000087105	Computed tomography of right forearm (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z89.3	Forearm NEC	Z94.2	Right sided operation									
CFARRC	CT Forearm with contrast Rt	4321000087102	Computed tomography of right forearm with contrast (procedure)	U21.2	Computed tomography NEC							Y97.3	Radiology with post contrast	Y98.1	Radiology of one body area (or < 20 minutes)			Z89.3	Forearm NEC	Z94.2	Right sided operation									
CFDPAC	CT 4D parathyroid with contrast	1110821000000105	Four dimensional computed tomography of parathyroid with contrast (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z13.5	Parathyroid gland											N
CFFOB	CT Forefoot Both	429925005	Computed tomography of forefoot (procedure)	U21.2	Computed tomography NEC							Y98.2	Radiology of two body areas					Z90.5	Foot NEC											
CFFOL	CT Forefoot Lt	429925005	Computed tomography of forefoot (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.5	Foot NEC											
CFFOR	CT Forefoot Rt	429925005	Computed tomography of forefoot (procedure)	U21.2	Computed tomography NEC							Y98.1	Radiology of one body area (or < 20 minutes)					Z90.5	Foot NEC											
CFIDB	CT Guided fiducial insertion kidney B	718533003	Insertion of fiducial marker into kidney using computed tomography guidance (procedure)	M16.8	Other specified other operations on kidney							Y37.4	Insertion of marker into organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CFIDL	CT Guided fiducial insertion kidney Lt	718533003	Insertion of fiducial marker into kidney using computed tomography guidance (procedure)	M16.8	Other specified other operations on kidney							Y37.4	Insertion of marker into organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CFIDR	CT Guided fiducial insertion kidney Rt	718533003	Insertion of fiducial marker into kidney using computed tomography guidance (procedure)	M16.8	Other specified other operations on kidney							Y37.4	Insertion of marker into organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CFILB	CT Guided fiducial insertion lung Both	829831000000100	Insertion of fiducial marker into lung using computed tomography guidance (procedure)	E59.8	Other specified other operations on lung							Y37.4	Insertion of marker into organ NOC	Y53.3	Approach to organ under computed tomography scan control															
CFILIV	CT Guided fiducial insertion liver	829721000000109	Insertion of fiducial marker into liver using computed tomography guidance (procedure)	J12.8	Other specified other therapeutic percutaneous operations on liver							Y37.4	Insertion of marker into organ NOC	Y53.3	Approach to organ under computed tomography scan control															
